codigo_universal_linha,coluna,tipo_inconsistencia,categoria,cod_coluna
29312_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
80002_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
16448_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
80001_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
32338_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
80000_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
62274_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79999_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79998_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79997_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
68568_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
17290_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
55152_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79996_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
77805_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79995_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79994_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79993_3071549,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79266_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79265_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79264_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
20557_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
51557_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
64557_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
55582_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79263_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79262_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79261_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
72027_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
59418_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
61971_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
51631_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
53544_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79260_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
74798_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
28496_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79259_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
77903_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
28048_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79258_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79257_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79256_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
77902_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79255_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79254_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79253_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79252_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
77567_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79251_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79250_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79249_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
77898_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
39212_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
68017_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
73953_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
59704_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79248_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79247_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79246_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79245_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
57808_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79244_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79243_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79242_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79241_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79240_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79239_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79238_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
71988_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79237_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
75387_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79236_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
35314_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79235_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79234_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79233_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79232_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79231_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79230_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79229_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79228_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79227_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79226_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
25747_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
76911_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79225_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79224_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79223_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
39935_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
55875_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
59791_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
24582_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79222_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79221_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
3169_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79220_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79219_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
60172_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79218_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79217_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79216_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79215_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79214_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79213_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79212_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79211_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79210_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79209_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79208_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79207_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79206_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79205_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79204_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79203_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79202_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79201_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79200_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79199_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79198_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79197_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79196_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79195_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79194_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79193_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79192_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79191_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
77439_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
75577_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79190_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
70485_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79189_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79188_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
57833_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79187_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
68691_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79186_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79185_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79184_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79183_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
25161_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79182_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79181_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79180_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79179_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79178_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79177_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
47221_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79176_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
44991_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79175_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
15505_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79174_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
49029_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79173_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
4050_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79172_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79171_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79170_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79169_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79168_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79167_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
57828_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79166_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
75104_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79165_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79164_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
2160_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
27209_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
57903_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79163_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
67856_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
44931_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79162_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
34127_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
5330_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
79161_3028489,dt_cadastro_aluno_sistema,dt_cadastro_aluno_sistema_inferior,Matrícula,27
